id,event_id,event_type,event_dt,va_provider_name,va_engine_code,va_type_code,device_id,vehicle_make,vehicle_make_cfd,vehicle_model,vehicle_model_cfd,vehicle_colour,vehicle_colour_cfd,vehicle_class,vehicle_class_cfd,vehicle_angle,vehicle_angle_cfd,plate_number,plate_number_cfd,plate_colour,plate_colour_cfd,plate_colour_scheme,plate_vehicle_class,full_image_url,cropped_image_url,bbox_x1,bbox_y1,bbox_x2,bbox_y2
84005,ddf78f55-92c3-4521-8237-ec55d89b2e8b,VEHICLE_ATTRIBUTE             ,06:26.0,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,???,0.43613032,???-?C4???,0.436098,RED,0.6860113,ST_CAR,0.8996346,ST_FRONT,0.9999782,,0,,0,,,2022/08/23/senseunity/full/9d0b58d5-33f5-42d8-91fe-8ee2b659f14f,2022/08/23/senseunity/cropped/ba13548e-699d-4348-aa34-25cb700f86b4,3732,27,3835,341
84006,ffe0f577-4fc9-4cb8-ad23-4b2ec5006bbd,VEHICLE_ATTRIBUTE             ,09:15.2,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,??,0.97975653,??-A6L,0.9522238,BLUE,0.9999999,ST_CAR,0.99001163,ST_FRONT,1,,0,,0,,,2022/08/23/senseunity/full/87d98c7c-6060-4876-a2a8-ee943bb8edfa,2022/08/23/senseunity/cropped/27eeb9f8-7e03-4656-9723-6c87786cdb18,45,823,1790,2160
84007,e1bd123b-a42f-430e-83f6-bca819be6446,VEHICLE_ATTRIBUTE             ,09:14.0,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,??,0.31390125,??-Aygo,0.3123827,BLUE,0.9998908,ST_CAR,1,ST_FRONT,0.98480266,,0,,0,,,2022/08/23/senseunity/full/0357d52a-feaa-41e2-97c1-3f69cb871861,2022/08/23/senseunity/cropped/feb9f85a-f8e5-4c78-bf91-5e4d5ed974fc,1519,460,2498,1177
84009,651907d3-eea3-4834-b97c-dbea5af50c36,VEHICLE_ATTRIBUTE             ,14:15.4,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,??,0.53673893,??-??,0.53656495,BLUE,0.9680589,ST_SUV,0.9463327,ST_BACK,0.9794279,,0,,0,,,2022/08/23/senseunity/full/2af5173b-b3e6-4de5-b9b3-2354e97c1776,2022/08/23/senseunity/cropped/ad6c76a1-ae68-4a7f-a367-b1004b1e64c3,2599,0,3021,169
84010,092afc63-6ae6-4f2b-94b0-62d3682f994b,VEHICLE_ATTRIBUTE             ,13:59.7,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,??,0.8316828,??-Avalon,0.6051228,WHITE,0.9973853,ST_CAR,1,ST_FRONT,1,,0,,0,,,2022/08/23/senseunity/full/e1076588-e8cf-42ac-a590-fb76a66ac200,2022/08/23/senseunity/cropped/6d7b577e-8270-4b89-ac4d-f5dbfd851124,2860,0,3726,373
84011,0a736c35-9dd6-440f-ab77-c6b2b13f9c84,VEHICLE_ATTRIBUTE             ,22:16.9,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,???,0.6023569,???-VOLT???,0.602027,BLUE,0.99989176,ST_CAR,0.69380254,ST_FRONT,0.7586154,,0,,0,,,2022/08/23/senseunity/full/483c68ae-045e-4a11-aefa-af2923e7e9aa,2022/08/23/senseunity/cropped/3c8fa4ff-ff1f-418d-b11f-ea8f39d20d54,2928,2,3160,181
84012,f4823595-3b5f-4b85-9b8c-a2af6fb4f301,VEHICLE_ATTRIBUTE             ,22:22.2,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,??,0.942145,??-?????,0.9421444,GRAY,0.99458635,ST_VAN,0.99884784,ST_FRONT,1,SLB4605B,1,,0,,,2022/08/23/senseunity/full/c6db0b0a-9008-453a-aad1-14926a1002aa,2022/08/23/senseunity/cropped/3369de2d-6dc9-4605-a8e7-d5725909338e,1684,403,2764,1861
84013,6ece5957-fd3e-48c8-8e0c-a22684316ecd,VEHICLE_ATTRIBUTE             ,17:04.9,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,???,0.9999989,???-CX5,0.7449034,BLUE,0.99951756,ST_SUV,0.99999857,ST_FRONT,1,SMP3539E,1,,0,,,2022/08/23/senseunity/full/34ff3e91-7a75-4194-81b3-aa0df22e61ee,2022/08/23/senseunity/cropped/c3ee27fd-9953-4855-866d-897e88158b3d,2869,0,3546,646
84014,2c3a49e4-ffa4-4569-ab17-042d23f62941,VEHICLE_ATTRIBUTE             ,25:39.4,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,??,0.99536353,??-???,0.9947889,GRAY,0.99593735,ST_CAR,0.99999213,ST_FRONT,0.7035618,,0,,0,,,2022/08/23/senseunity/full/b03057a1-07ce-4d92-b6eb-45f5a9c830fc,2022/08/23/senseunity/cropped/a3caea90-66e1-4ea7-bec3-6e864d3a73ec,0,780,2036,2160
84015,a59426c9-2f60-4af2-9d57-5119487b4910,VEHICLE_ATTRIBUTE             ,25:38.2,Sensetime,senseunity,VEHICLE,b3cb0fb5-cf23-4b16-9adf-e19f2fe69050,??,0.6329957,??-??,0.6329436,BLUE,0.74039644,ST_CAR,0.99999964,ST_FRONT,1,,0,,0,,,2022/08/23/senseunity/full/45902fed-2b5e-481e-a231-b89cf5d0ce64,2022/08/23/senseunity/cropped/d55ecefc-0960-486a-959d-04f5eff37313,2320,226,3008,766
